:),smile
:(,frown
:P,delicious
:Þ,delicious
:c,cute frown
:<,cute frown
c:,cute smile
<:,devious smile
:L,uneasy
:l,uneasy
:/,disapproving
:\,disapproving
^_^,smiley
^.^,smiley
>_<,angry
>.<,grimace
>_>,suspiciously
<_<,suspiciously
>.>,suspiciously
<.<,suspiciously
-.-,angry
-_-,angry
o_o,shocked
o.o,shocked
._.,intimidated
owo,shocked
OwO,shocked
";_;,crying"
>:),evil grin
:],robot smile
:},devious smile
:|,serious face
>:(,angry
>:|,angry
-.^,suspicious
-_^,suspicious
8),looking cool
B),looking cool
<3,love
xD,laughing
:3,cute
x3,cute
o/,waving
\o,waving
\o/,arms in the air
uwu,cute
O:),innocent
:#,silence
:*,kiss
:O,surprised
:S,confused
:'(,sad and crying
XP,laughing and tongue sticking out
^_~,wink
";),wink"
=_=,bored
-_-',nervousness
^_^',embarrassed
"^_^;;,embarrassed"
¬_¬,yeah right
o_O,Confused
O_<,wink
$_$,thinking about Money
x_x,dead
9_9,eye Rolling
*_*,fantastic
*.*,fantastic
t(-_-t),flipping off
:D,big smile
:'),smile thrilled
:'D,smile thrilled
